"","topic_label","n"
"1","Topic-1: Child-marriage and 
its impacts on education ",1141
"2","Topic-2: Supporting young 
women to learn ",1085
"3","Topic-3: Access to education 
for crisis-affected girls ",954
"4","Topic-4: Education for 
women empowerment ",935
"5","Topic- 5: Online events around 
gender equity in education ",933
"6","Topic-6: Gender disparities 
in educational attainment ",883
"7","Topic-7: Food insecurity during 
COVID-19 & its impact on girls ",877
"8","Topic-8: Celebrating women 
in Science ",849
"9","Topic-9: Online abuse and 
harrassment faced by girls ",728
"10","Topic-10: School Related 
Gender Based Violence ",673
