"","date","topic_num","n","topic_label"
"1",2020-03-01,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"2",2020-03-02,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"3",2020-03-05,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"4",2020-03-06,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"5",2020-03-09,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"6",2020-03-10,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"7",2020-03-11,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"8",2020-03-12,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"9",2020-03-13,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"10",2020-03-14,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"11",2020-03-18,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"12",2020-03-19,1,8,"Topic-1: Child-marriage and 
its impacts on education "
"13",2020-03-23,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"14",2020-03-28,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"15",2020-03-29,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"16",2020-04-01,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"17",2020-04-02,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"18",2020-04-03,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"19",2020-04-05,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"20",2020-04-06,1,11,"Topic-1: Child-marriage and 
its impacts on education "
"21",2020-04-09,1,10,"Topic-1: Child-marriage and 
its impacts on education "
"22",2020-04-10,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"23",2020-04-12,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"24",2020-04-13,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"25",2020-04-14,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"26",2020-04-15,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"27",2020-04-16,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"28",2020-04-17,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"29",2020-04-18,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"30",2020-04-19,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"31",2020-04-20,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"32",2020-04-21,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"33",2020-04-22,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"34",2020-04-23,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"35",2020-04-24,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"36",2020-04-25,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"37",2020-04-27,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"38",2020-04-28,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"39",2020-04-30,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"40",2020-05-01,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"41",2020-05-02,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"42",2020-05-03,1,9,"Topic-1: Child-marriage and 
its impacts on education "
"43",2020-05-04,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"44",2020-05-05,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"45",2020-05-06,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"46",2020-05-07,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"47",2020-05-08,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"48",2020-05-09,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"49",2020-05-10,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"50",2020-05-11,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"51",2020-05-12,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"52",2020-05-13,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"53",2020-05-15,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"54",2020-05-17,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"55",2020-05-18,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"56",2020-05-19,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"57",2020-05-20,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"58",2020-05-21,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"59",2020-05-23,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"60",2020-05-24,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"61",2020-05-26,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"62",2020-05-27,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"63",2020-05-28,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"64",2020-05-31,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"65",2020-06-01,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"66",2020-06-02,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"67",2020-06-03,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"68",2020-06-04,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"69",2020-06-05,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"70",2020-06-06,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"71",2020-06-08,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"72",2020-06-11,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"73",2020-06-12,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"74",2020-06-13,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"75",2020-06-15,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"76",2020-06-16,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"77",2020-06-17,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"78",2020-06-18,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"79",2020-06-19,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"80",2020-06-20,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"81",2020-06-21,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"82",2020-06-24,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"83",2020-06-25,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"84",2020-06-26,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"85",2020-06-27,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"86",2020-06-28,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"87",2020-06-29,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"88",2020-07-01,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"89",2020-07-02,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"90",2020-07-03,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"91",2020-07-06,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"92",2020-07-07,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"93",2020-07-08,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"94",2020-07-09,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"95",2020-07-11,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"96",2020-07-13,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"97",2020-07-14,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"98",2020-07-15,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"99",2020-07-16,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"100",2020-07-18,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"101",2020-07-19,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"102",2020-07-20,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"103",2020-07-21,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"104",2020-07-22,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"105",2020-07-23,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"106",2020-07-24,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"107",2020-07-25,1,10,"Topic-1: Child-marriage and 
its impacts on education "
"108",2020-07-26,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"109",2020-07-27,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"110",2020-07-29,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"111",2020-07-31,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"112",2020-08-01,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"113",2020-08-04,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"114",2020-08-06,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"115",2020-08-07,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"116",2020-08-08,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"117",2020-08-09,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"118",2020-08-11,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"119",2020-08-12,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"120",2020-08-13,1,2,"Topic-1: Child-marriage and 
its impacts on education "
